mushroom0,class,e
mushroom1,class,e
mushroom2,class,e
mushroom3,class,e
mushroom4,class,e
mushroom0,bruises?,t
mushroom1,bruises?,t
mushroom2,bruises?,f
mushroom3,bruises?,t
mushroom4,bruises?,f
mushroom0,gill-size,b
mushroom1,gill-size,n
mushroom2,gill-size,n
mushroom3,gill-size,b
mushroom4,gill-size,n
mushroom0,veil-type,p
mushroom1,veil-type,p
mushroom2,veil-type,p
mushroom3,veil-type,p
mushroom4,veil-type,p
mushroom0,ring-number,n
mushroom1,ring-number,t
mushroom2,ring-number,n
mushroom3,ring-number,o
mushroom4,ring-number,n
